Ingredient,Name,Price,Quantity
salt,FairPrice Salt - Fine,0.25,250g
chicken,Sadia Frozen Whole Chicken Griller,5.40,800g
garlic,Chef China Old Garlic,1.90,200g
onion,Chef Yellow Onion - Large,1.93,700g
chicken broth,Heinz Packet Broth - Chicken,1.65,250ml
butter,Buttercup Luxury Spread Block - Salted,2.87,227g
chicken breast,Sadia Skinless Chicken Breast,8.23,1kg
olive oil,LaDiva Pure Olive Oil,7.57,500ml
pepper,GWS Black Pepper Ground (Bottle),6.00,50g
flour,Prima Flour Packet Flour - Plain,2.82,1kg
celery,Freshco China Fresh Celery,2.95,1packet
cream of chicken soup,Campbell's Condensed Soup - Cream of Chicken,1.90,300g
milk,FairPrice UHT Milk - Full Cream,2.05,1l
tomatoes,Fresh Tomatoes,1.80,600g
parsley,Morrisons Parsley,3.18,11g
soy sauce,Lee Kum Kee Soy Sauce - Light,2.25,500ml
sour cream,Bulla Sour Cream - Original,5.50,200ml
thyme,Morrisons Cook It Herbs - Thyme,3.18,16g
mushrooms,Chef Shiitake Mushroom,2.35,250g
carrots,Pasar Prepacked Carrots,0.95,500g
Worcestershire sauce,Lea & Perrins Worcestershire Sauce,3.80,150ml
rice,Jasmine Fragrant Rice,8.20,5kg
vegetable oil,FairPrice Vegetable Oil,3.93,1l
paprika,MasterFoods Spices - Paprika Ground,4.44,35g
eggs,Seng Choon Large Eggs 630G,4.00,10pc
white wine,Bardinet White Cooking Wine,22.00,2l
white pepper,GWS White Pepper Ground (Bottle),6.50,50g
black pepper,GWS Black Pepper Ground (Bottle),6.00,50g
mayonnaise,Kewpie Mayonnaise,5.25,310ml
magarine,Naturel Cholesterol Free Margarine - Soft,3.93,500g
cream of mushroom soup,Campbell's Condensed Soup - Cream of Mushroom,1.90,290g
sugar,FairPrice Pure Cane Sugar - Fine Grain,1.80,1kg
oregano,NOMU Oregano Leaves,3.93,17g
potatoes,Holland Potato (China),1.85,1kg
cornstarch,Pagoda Pure Corn Flour,1.16,400g
red pepper,Gold Red Capsicum,1.97,300g
cheddar cheese,Cowhead Cheese - Cheddar (Grated),7.02,250g
bacon,FairPrice Bacon - Streaky,4.85,200g
ground cumin,Morrisons Ground Cumin,3.18,33g
basil,NOMU Basil Leaves,3.93,13g
honey,BusyB Premium Natural Honey,4.95,1kg
ginger,Simply Finest Young Ginger,1.97,200g
brown sugar,FairPrice Brown Sugar - Fine,2.93,800g
mustard,MasterFoods Mustard - Dijon,4.32,170g
bread crumbs,Fry Top Bread Crumbs,1.87,230g
cayenne pepper,NOMU Cayenne Pepper,3.93,29g
chilli powder,Prome Chilli Powder (Jar) 250G -- By Dashmesh,3.15,250g
cilantro,Thailand Coriander,1.69,50g
lemon,Orgo Fresh Large Yellow Lemon,2.19,300g
unsalted butter,Buttercup Luxury Spread Block - Unsalted,2.87,227g
bay leaf,Prome Dry Bay Leaf -- By Dashmesh [Bundle of 3],1.15,3 X 40G
almond,Laobanniang Baked Almond,13.12,500g
broccoli,Smart Knife Fresh Broccoli,2.25,250g
sage,El Avion Sage Leaves,3.20,17g
rosemary,NOMU Rosemary Leaves,3.93,17g
shallot,Fresh Shallot (Prepacked),1.97,140g
zucchini,Gold Green Zucchini,2.53,2pc
scallions,Grozer Spring Onion Scallion,2.52,150g
shrimp,Okeanoss Frozen IQF Shrimp Meat (Tail Off),10.90,400g
tomato paste,Del Monte 100% Natural Tomato Paste,1.95,170g
pasta,San Remo Pasta - Spaghetti,2.70,500g
corn,Pasar Sweet Corn,1.50,2pc
water chestnuts,China Water Chestnut,2.22,500g
all-purpose,Bake King Flours - Plain (All Purpose),2.78,1kg
ground beef,Amir's Premium Frozen Meat - Minced Beef,5.00,300g
noodles,Koka Ezy Cook Plain Noodles,1.57,5pc
frozen peas,FairPrice Frozen Fresh Garden Peas,4.70,1kg
sausage,BoBo Chicken Sausage - Cheese,3.83,200g
garlic powder,MasterFoods Spices - Garlic Powder,4.85,50g
pineapple,Fresh Pineapple,2.65,1pc
mozzarella cheese,Cowhead Cheese - Mozzarella (Shredded),7.02,250g
onion powder,Masterfood Seasoning - Onion Powder,3.99,40g
black beans,La Costena Whole Black Beans in Can,3.99,560g
fish sauce,Knife Brand Thai Fish Sauce - Reduced Salt,1.41,
lime,Fresh Seedless Lime,1.80,250g
balsamic vinegar,Alce Nero Organic Vinegar - Balsamic,7.52,250ml
nutmeg,Carmencita Nutmeg Ground,6.50,50g
cinnamon,Morrisons Gound Cinnamon,3.18,37g
ham,FairPrice Breakfast Ham,2.95,200g
hot sauce,Heinz ABC Chili Sauce - Extra Hot,2.60,395g
avocado,Australia Avocado - Large,6.95,3pc
cabbage,Smart Knife Fresh Round Cabbage,1.55,1.3kg
leeks,Orgo Fresh Chinese Leek,5.03,200g
ketchup,FairPrice Tomato Ketchup,1.15,320g
coconut milk,FairPrice Natural Coconut Cream,0.91,200ml
buttermilk,Amul Buttermilk - Masti 1L -- By Dashmesh [Bundle of 2],5.10,2l
egg noodles,Sun Brand Dried Egg Noodles (High Quality),1.47,200g
green beans,Pasar Green Beans,1.97,400g
olives,Borges Black Olives - Pitted,4.74,285g
crackers,Hup Seng Crackers - Cream,3.00,428g
turkey,BoBo Turkey Ham,3.83,200g
chicken bouillon,Knorr Seasoning Powder - Chicken (No Added MSG),3.53,120g
baking powder,Bake King Baking Powder,1.77,70g
cucumber,Pasar Japanese Cucumber,1.20,250g
